ID,Tên sản phẩm,Giá Nhật (¥),Nguồn,Link,Ghi chú
173,Lion Pair Acne Cream W Kem Trị Mụn 14g,714,amazon,https://www.amazon.co.jp/dp/B002NST1IO,nguồn yếu — kiểm tra lại
187,Spirulina Tảo Xoắn 2400 Viên,2484,amazon,https://www.amazon.co.jp/dp/B000IBURUE,nguồn yếu — kiểm tra lại
193,BB Chocola Trị Mụn 170 Viên,2883,amazon,https://www.amazon.co.jp/dp/B004312MSK,nguồn yếu — kiểm tra lại
197,Orihiro Ukon Tea Trà Nghệ 60 Gói,847,amazon,https://www.amazon.co.jp/dp/B000FQS2KO,nguồn yếu — kiểm tra lại
223,Pair Acne Lotion Ngừa Trị Mụn,1650,amazon,https://www.amazon.co.jp/dp/B0012X3NCG,nguồn yếu — kiểm tra lại
226,Pair Acne Sữa Rửa Mặt Ngừa-Trị Mụn,706,amazon,https://www.amazon.co.jp/dp/B000L428DM,nguồn yếu — kiểm tra lại
228,Transino White C Clear 120 Viên,2183,amazon,https://www.amazon.co.jp/dp/B07864XVDJ,
232,Perfect White Clay Sữa Rửa Mặt – Trắng,988,amazon,https://www.amazon.co.jp/dp/B01JFPPBQS,nguồn yếu — kiểm tra lại
245,Lion Pair Acne Cream W Kem Trị Mụn 24g,760,amazon,https://www.amazon.co.jp/dp/B00F4LXVMY,nguồn yếu — kiểm tra lại
247,LuLuLun Face Mask White Mặt Nạ-Dưỡng Trắng,2280,amazon,https://www.amazon.co.jp/dp/B07TVHXCPK,nguồn yếu — kiểm tra lại
250,LuLuLun Face Mask Pink Mặt Nạ-Cân Bằng Ẩm,1980,amazon,https://www.amazon.co.jp/dp/B09JLQ55B9,nguồn yếu — kiểm tra lại
256,Mask Moritaya Tofu Mặt Nạ Đậu Phụ 150g,3780,amazon,https://www.amazon.co.jp/dp/B07B3JGDNT,nguồn yếu — kiểm tra lại
258,Mask Keana Rice Mặt Nạ Gạo 10 Miếng,715,amazon,https://www.amazon.co.jp/dp/B018FM03CO,
274,Perfect Whip Sữa Rửa Mặt – Xanh,549,amazon,https://www.amazon.co.jp/dp/B0BYJKR532,nguồn yếu — kiểm tra lại
278,Perfect Whip Sữa Rửa Mặt – Hồng,770,amazon,https://www.amazon.co.jp/dp/B0DVC6ZFN8,nguồn yếu — kiểm tra lại
280,Skin Aqua Tone Up Kem Chống Nắng 80g,950,amazon,https://www.amazon.co.jp/dp/B09R6MW9S5,nguồn yếu — kiểm tra lại
301,Arau Baby Sữa Tắm Gội Cho Bé 450ml,655,amazon,https://www.amazon.co.jp/dp/B0B9FR7997,
303,Skina Babe Sữa Tắm Trị Rôm Sẩy Cho Bé,4180,amazon,https://www.amazon.co.jp/dp/B09LYJ3DGR,nguồn yếu — kiểm tra lại
320,Transino Trị Nám 240 Viên,6299,amazon,https://www.amazon.co.jp/dp/B0CRTSXBPK,nguồn yếu — kiểm tra lại
659,Spirulina Tảo Xoắn Chai 2200 Viên,1999,amazon,https://www.amazon.co.jp/dp/B0012SMOHQ,nguồn yếu — kiểm tra lại
730,Kem Dưỡng -Trị Thâm Mắt Meishoku 30g,860,amazon,https://www.amazon.co.jp/dp/B0B5YXM9V1,nguồn yếu — kiểm tra lại
753,Mặt Nạ Dưỡng Trị Thâm Môi Choosy,1350,amazon,https://www.amazon.co.jp/dp/B0DYV6DWX5,nguồn yếu — kiểm tra lại
762,Son Dưỡng Trị Thâm Môi Mentholatum 5g,689,amazon,https://www.amazon.co.jp/dp/B07HCHQVZ9,nguồn yếu — kiểm tra lại
791,Sữa Rửa Mặt Trà Xanh Rohto,455,amazon,https://www.amazon.co.jp/dp/B005IPE5BM,nguồn yếu — kiểm tra lại
911,Kem Dưỡng Thoa Tay – Hand Cream Kose,368,amazon,https://www.amazon.co.jp/dp/B08DV94SCV,nguồn yếu — kiểm tra lại
912,Sữa Rửa Mặt Oxy Màu Đen 130g,519,amazon,https://www.amazon.co.jp/dp/B00BP2Y6N4,
915,Sữa Rửa Mặt Oxy Màu Xanh 130g,899,amazon,https://www.amazon.co.jp/dp/B0GBVDS3BB,nguồn yếu — kiểm tra lại
916,Dầu Tẩy Trang Oliu Naive  Kracie Natural Deep Cleansing,1850,amazon,https://www.amazon.co.jp/dp/B078WTKR21,nguồn yếu — kiểm tra lại
1228,Giảm Cân 12kg Deru Deru Diet Supplement Nhật Bản,3980,amazon,https://www.amazon.co.jp/dp/B0F665DT81,nguồn yếu — kiểm tra lại
1229,Lululun Face Mask Blue Mặt Nạ- Dưỡng Ẩm Sâu,2743,amazon,https://www.amazon.co.jp/dp/B0823GLKHD,
1234,Viên Uống Vitamin Tổng Hợp DHC Multi Vitamins,851,amazon,https://www.amazon.co.jp/dp/B00GX1E3R6,
1249,Tẩy Trang Muji Oil Cleansing 200ml,850,amazon,https://www.amazon.co.jp/dp/B07SV58FH5,
1269,Collagen Refa 16 Dạng Nước 480ml,6804,amazon,https://www.amazon.co.jp/dp/B0GSZ38R7D,nguồn yếu — kiểm tra lại
1274,Vitamin C DHC 60 Ngày,5850,amazon,https://www.amazon.co.jp/dp/B0F9KVSXPB,
1281,Viên Uống Tinh Chất Hàu Tươi Orihiro,2184,amazon,https://www.amazon.co.jp/dp/B000FQS2H2,
1283,Viên Xương Khớp Glucosamine Orihiro,2383,amazon,https://www.amazon.co.jp/dp/B009301XGI,nguồn yếu — kiểm tra lại
1299,KÍNH CHỐNG CÁC TIA ĐỘC HẠI CHO BÉ FREESE,1290,amazon,https://www.amazon.co.jp/dp/B098KGTL6S,nguồn yếu — kiểm tra lại
1311,Sữa Dưỡng Thể Hatomugi Chống Nắng SPF31 PA+++,917,amazon,https://www.amazon.co.jp/dp/B09HML23XK,nguồn yếu — kiểm tra lại
1313,Sữa Dưỡng Thể Hatomugi Lotion Ban Đêm,1488,amazon,https://www.amazon.co.jp/dp/B09XDN5KT2,nguồn yếu — kiểm tra lại
1315,Thuốc Detox Nhuận Tràng Trị Táo Bón Kokando Byurakka,1029,amazon,https://www.amazon.co.jp/dp/B0BLSBDVFC,nguồn yếu — kiểm tra lại
1317,Viên Uống Trắng Da DHC Hatomugi 60 ngày,1530,amazon,https://www.amazon.co.jp/dp/B07FFY16F5,nguồn yếu — kiểm tra lại
1358,Viên Ngăn Ngừa Đột Quỵ An Cung Ngưu Hoàn Nhật Bản,1350,amazon,https://www.amazon.co.jp/dp/B0CY1WQLL2,nguồn yếu — kiểm tra lại
1363,Sữa Meiji Cho Bé Từ 0-1 Tuổi Dạng Thanh (48 Thanh),10800,rakuten,https://item.rakuten.co.jp/netbaby/4902705132634/?variantId=4902705132634,
1368,Sữa Meiji Cho Bé Từ 1-3 Tuổi Dạng Thanh (48 Thanh),,,,no price
1370,Kem Ủ Trắng Hasuko Cô Gái Nhật Bản 300g,2500,amazon,https://www.amazon.co.jp/dp/B07YFCPC2Q,nguồn yếu — kiểm tra lại
