id,ten,ten_ja,danh_muc,trang_thai,khoi_luong_g,kich_thuoc_cm,do_tin_cay,nguon,van_de
173,Lion Pair Acne Cream W Kem Trị Mụn 14g,ライオン ペアアクネクリームW 14g,Trị mụn,Đang bán,40,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
187,Spirulina Tảo Xoắn 2400 Viên,スピルリナ普及会 スピルリナ100% 2400粒,Thực phẩm chức năng,Đang bán,630,16x10x10,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
193,BB Chocola Trị Mụn 170 Viên,エーザイ チョコラBBピュア 170錠,"Thực phẩm chức năng, Trị mụn",Đang bán,165,12x8x5,Trung bình,"Suy luận tương đương: Ước lọ/hộp 170 viên trị mụn Chocola BB, gồm viên và bao bì.",
197,Orihiro Ukon Tea Trà Nghệ 60 Gói,オリヒロ 徳用ウコン茶 60包,Thực phẩm chức năng,Đang bán,91,20x14x6,Trung bình,Suy luận quy cách: Ước hộp 60 túi trà Orihiro; giữ khối lượng quy cách cũ nếu có.,
223,Pair Acne Lotion Ngừa Trị Mụn,ライオン ペアアクネ クリーンローション 160mL,"Dưỡng da mặt, Trị mụn",Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
226,Pair Acne Sữa Rửa Mặt Ngừa-Trị Mụn,ライオン ペアアクネ クリーミーフォーム 80g,Trị mụn,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
228,Transino White C Clear 120 Viên,トランシーノ ホワイトCクリア 120錠,Thực phẩm chức năng,Đang bán,94,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
232,Perfect White Clay Sữa Rửa Mặt – Trắng,洗顔専科 パーフェクトホワイトクレイ 120g,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
245,Lion Pair Acne Cream W Kem Trị Mụn 24g,ライオン ペアアクネクリームW 24g,Trị mụn,Đang bán,51,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
247,LuLuLun Face Mask White Mặt Nạ-Dưỡng Trắng,ルルルン 白のルルルン（ピュア クリア）32枚入,Mặt nạ,Đang bán,180,20x16x3,Trung bình,"Suy luận tương đương: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
250,LuLuLun Face Mask Pink Mặt Nạ-Cân Bằng Ẩm,ルルルン ピンクのルルルン（ピュア バランス）32枚入,Mặt nạ,Đang bán,180,20x16x3,Trung bình,"Suy luận tương đương: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
256,Mask Moritaya Tofu Mặt Nạ Đậu Phụ 150g,豆腐の盛田屋 豆乳よーぐるとぱっく 玉の輿 150g,Mặt nạ,Đang bán,190,9x9x7,Trung bình,"Suy luận quy cách: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
258,Mask Keana Rice Mặt Nạ Gạo 10 Miếng,毛穴撫子 お米のマスク 10枚入,Mặt nạ,Đang bán,300,22x17x3,Trung bình,"Suy luận tương đương: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
274,Perfect Whip Sữa Rửa Mặt – Xanh,洗顔専科 パーフェクトホイップ 120g,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
278,Perfect Whip Sữa Rửa Mặt – Hồng,洗顔専科 パーフェクトホイップ コラーゲンin 120g,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
280,Skin Aqua Tone Up Kem Chống Nắng 80g,スキンアクア トーンアップUVエッセンス ラベンダー 80g,Chống nắng,Đang bán,115,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
301,Arau Baby Sữa Tắm Gội Cho Bé 450ml,アラウ.ベビー 泡全身ソープ 本体 450mL,Mẹ và bé,Đang bán,510,18.3x10.3x9.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
303,Skina Babe Sữa Tắm Trị Rôm Sẩy Cho Bé,持田ヘルスケア スキナベーブ 沐浴剤 500mL,Mẹ và bé,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
320,Transino Trị Nám 240 Viên,トランシーノEX 240錠,Dưỡng da mặt,Đang bán,200,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
659,Spirulina Tảo Xoắn Chai 2200 Viên,ジャパンアルジェ 海洋深層水スピルリナブレンド 2200粒,Thực phẩm chức năng,Đang bán,580,16x10x10,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
730,Kem Dưỡng -Trị Thâm Mắt Meishoku 30g,明色 プラセホワイター 薬用美白アイクリーム 30g,Dưỡng da mặt,Đang bán,58,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
753,Mặt Nạ Dưỡng Trị Thâm Môi Choosy,チューシー リップパック ピーチ／ブラックパール／ハニー,Mặt nạ,Đang bán,180,20x16x3,Trung bình,"Suy luận tương đương: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
762,Son Dưỡng Trị Thâm Môi Mentholatum 5g,メンソレータム 薬用リップスティック 4.5g,Trang điểm,Đang bán,30,9x3x3,Trung bình,Suy luận quy cách: Ước thỏi son và hộp giấy bán lẻ.,
791,Sữa Rửa Mặt Trà Xanh Rohto,ロート製薬 白茶爽 白茶練り石鹸洗顔 120g,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
911,Kem Dưỡng Thoa Tay – Hand Cream Kose,コーセー プレシャスガーデン ハンドクリーム 70g 全5種の香り,Dưỡng da mặt,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
912,Sữa Rửa Mặt Oxy Màu Đen 130g,オキシー ディープウォッシュ 130g,Sữa rửa mặt & tẩy trang,Đang bán,130,22.1x7x6.2,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
915,Sữa Rửa Mặt Oxy Màu Xanh 130g,ロート製薬 オキシー ディープウォッシュ 130g,Sữa rửa mặt & tẩy trang,Đang bán,170,19x7x5,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
916,Dầu Tẩy Trang Oliu Naive  Kracie Natural Deep Cleansing,クラシエ ナイーブ ディープクリア オイルクレンジング 170mL,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1228,Giảm Cân 12kg Deru Deru Diet Supplement Nhật Bản,ミナミヘルシーフーズ 超実感なんでこんなにでるでるダイエット粒 75袋,Giảm cân,Đang bán,100,18x12x3.5,Thấp,"Suy luận tương đương: Tên có “12 kg” là mức giảm cân quảng cáo, không phải khối lượng hàng; ước theo hộp thực phẩm bổ sung.",
1229,Lululun Face Mask Blue Mặt Nạ- Dưỡng Ẩm Sâu,ルルルン 青のルルルン フェイスマスク 32枚,Mặt nạ,Đang bán,180,20x16x3,Trung bình,"Suy luận tương đương: Ước theo dạng mặt nạ (túi đơn/túi nhiều miếng/hũ), cộng tinh chất và bao bì.",
1234,Viên Uống Vitamin Tổng Hợp DHC Multi Vitamins,DHC マルチビタミン 徳用90日分 90粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1249,Tẩy Trang Muji Oil Cleansing 200ml,無印良品 マイルドオイルクレンジング 200mL,Sữa rửa mặt & tẩy trang,Đang bán,260,19x7x5,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1269,Collagen Refa 16 Dạng Nước 480ml,リファ コラーゲンエンリッチ 480mL,Thực phẩm chức năng,Đang bán,580,23x9x8,Thấp,Suy luận quy cách: Ước đồ uống đóng chai/hộp từ dung tích; nếu tên không có dung tích dùng chai phổ biến 500 ml.,
1274,Vitamin C DHC 60 Ngày,DHC ビタミンC ハードカプセル 60日分 120粒,Thực phẩm chức năng,Đang bán,27,17x10x1.5,Trung bình,"Nguồn + suy luận: Suy từ gói DHC Vitamin C 60 ngày; trang Amazon của bộ 3 ghi 80 g và 23,9 × 14,7 × 1,5 cm.",
1281,Viên Uống Tinh Chất Hàu Tươi Orihiro,オリヒロ 牡蠣エキス粒 120粒,Thực phẩm chức năng,Đang bán,120,15x6x5,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1283,Viên Xương Khớp Glucosamine Orihiro,オリヒロ 高純度グルコサミン 徳用 900粒,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1299,KÍNH CHỐNG CÁC TIA ĐỘC HẠI CHO BÉ FREESE,FREESE こども用 ブルーライトカット メガネ 3〜12歳,Mẹ và bé,Đang bán,60,16x7x5,Thấp,Suy luận tương đương: Ước kính trẻ em kèm hộp mềm.,
